product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
Beef and Vegetable Guinness Pie,Bread & Butter Bakery and Fine Pastries,Savoury,28,359.750,0.000,0.000,359.750,0.000,359.750
Brownie Cobbler Slabs,,,24,336.000,0.000,0.000,336.000,0.000,336.000
full slab choc vegan cake,,,1,325.000,0.000,0.000,325.000,0.000,325.000
Irish Soda Bread,Bread & Butter Bakery and Fine Pastries,,41,322.000,0.000,0.000,322.000,0.000,322.000
Plum Pudding,Bread & Butter Bakery and Fine Pastries,Cookies,11,348.000,0.000,-29.000,319.000,0.000,319.000
Cookie Tray - 4 dozen (Individually wrapped)  NO HERMIT COOKIES,,,3,276.000,0.000,0.000,276.000,35.880,311.880
MOM Cookie Cake,Bread & Butter Bakery and Fine Pastries,,14,363.300,-51.900,0.000,311.400,0.000,311.400
Breakfast Pastry Selection - Large (8am pickup),,,4,272.000,0.000,0.000,272.000,35.360,307.360
Breakfast Pastry Selection - Large (7am pickup),,,4,272.000,0.000,0.000,272.000,35.360,307.360
Linzer Cookies,Bread & Butter Bakery and Fine Pastries,Cookies,25,305.500,0.000,-11.750,293.750,12.230,305.980
